#(id,from,to,speed,planTime)
(10000, 65, 56, 6, 17)
(10001, 23, 13, 4, 50)
(10002, 84, 55, 8, 30)
(10003, 10, 87, 6, 93)
(10004, 44, 60, 8, 16)
(10005, 28, 25, 8, 11)
(10006, 37, 72, 4, 40)
(10007, 65, 79, 4, 76)
(10008, 25, 41, 6, 57)
(10009, 22, 46, 6, 46)
(10010, 1, 82, 8, 95)
(10011, 4, 19, 6, 63)
(10012, 97, 92, 6, 63)
(10013, 58, 98, 6, 39)
(10014, 60, 34, 6, 51)
(10015, 95, 58, 4, 92)
(10016, 15, 18, 8, 66)
(10017, 83, 66, 8, 82)
(10018, 94, 73, 6, 49)
(10019, 82, 34, 4, 89)
(10020, 96, 91, 6, 18)
(10021, 9, 51, 6, 24)
(10022, 14, 61, 8, 48)
(10023, 36, 52, 4, 34)
(10024, 73, 85, 8, 67)
(10025, 40, 85, 8, 87)
(10026, 86, 78, 8, 96)
(10027, 23, 15, 4, 41)
(10028, 95, 87, 6, 15)
(10029, 42, 79, 8, 37)
(10030, 39, 43, 4, 45)
(10031, 28, 58, 4, 67)
(10032, 50, 42, 8, 92)
(10033, 87, 9, 6, 74)
(10034, 17, 74, 8, 28)
(10035, 22, 3, 4, 93)
(10036, 15, 39, 4, 73)
(10037, 34, 61, 6, 75)
(10038, 90, 82, 8, 25)
(10039, 8, 45, 8, 50)
(10040, 13, 44, 4, 30)
(10041, 76, 50, 8, 2)
(10042, 9, 36, 6, 15)
(10043, 19, 86, 4, 72)
(10044, 20, 46, 6, 7)
(10045, 49, 66, 6, 97)
(10046, 53, 92, 6, 28)
(10047, 88, 83, 8, 79)
(10048, 59, 91, 8, 40)
(10049, 2, 71, 6, 49)
(10050, 98, 23, 6, 40)
(10051, 6, 78, 8, 80)
(10052, 92, 26, 8, 55)
(10053, 43, 65, 8, 100)
(10054, 78, 41, 8, 62)
(10055, 44, 47, 6, 24)
(10056, 78, 27, 4, 81)
(10057, 3, 97, 6, 7)
(10058, 96, 26, 8, 66)
(10059, 17, 2, 8, 38)
(10060, 54, 60, 4, 8)
(10061, 41, 6, 8, 34)
(10062, 7, 24, 6, 80)
(10063, 58, 42, 8, 29)
(10064, 97, 74, 4, 40)
(10065, 79, 53, 8, 9)
(10066, 95, 71, 8, 25)
(10067, 88, 73, 4, 90)
(10068, 58, 68, 6, 99)
(10069, 15, 12, 4, 80)
(10070, 25, 31, 4, 89)
(10071, 69, 36, 4, 76)
(10072, 62, 2, 6, 6)
(10073, 50, 15, 6, 61)
(10074, 75, 41, 6, 29)
(10075, 68, 48, 4, 71)
(10076, 43, 62, 8, 46)
