# (id,roadId,roadId,roadId,roadId)
(1, 5000, 5001, -1, -1)
(2, 5002, 5003, 5000, -1)
(3, 5004, 5005, 5002, -1)
(4, 5006, 5007, 5004, -1)
(5, 5008, 5009, 5006, -1)
(6, 5010, 5011, 5008, -1)
(7, 5012, 5013, 5010, -1)
(8, 5014, 5015, 5012, -1)
(9, 5016, 5017, 5014, -1)
(10, -1, 5018, 5016, -1)
(11, 5019, 5020, -1, 5001)
(12, -1, 5021, 5019, 5003)
(13, 5022, 5023, -1, 5005)
(14, 5024, 5025, 5022, 5007)
(15, 5026, 5027, 5024, 5009)
(16, 5028, 5029, 5026, 5011)
(17, 5030, 5031, 5028, 5013)
(18, 5032, 5033, 5030, 5015)
(19, 5034, 5035, 5032, 5017)
(20, -1, 5036, 5034, 5018)
(21, 5037, 5038, -1, 5020)
(22, 5039, 5040, 5037, 5021)
(23, 5041, 5042, 5039, 5023)
(24, -1, 5043, 5041, 5025)
(25, 5044, 5045, -1, 5027)
(26, 5046, 5047, 5044, 5029)
(27, 5048, 5049, 5046, 5031)
(28, 5050, 5051, 5048, 5033)
(29, 5052, 5053, 5050, 5035)
(30, -1, 5054, 5052, 5036)
(31, 5055, 5056, -1, 5038)
(32, -1, 5057, 5055, 5040)
(33, 5058, 5059, -1, 5042)
(34, 5060, 5061, 5058, 5043)
(35, 5062, 5063, 5060, 5045)
(36, 5064, 5065, 5062, 5047)
(37, -1, 5066, 5064, 5049)
(38, 5067, 5068, -1, 5051)
(39, 5069, 5070, 5067, 5053)
(40, -1, 5071, 5069, 5054)
(41, 5072, 5073, -1, 5056)
(42, 5074, -1, 5072, 5057)
(43, 5075, 5076, 5074, 5059)
(44, 5077, 5078, 5075, 5061)
(45, 5079, 5080, 5077, 5063)
(46, 5081, 5082, 5079, 5065)
(47, 5083, 5084, 5081, 5066)
(48, 5085, 5086, 5083, 5068)
(49, 5087, 5088, 5085, 5070)
(50, -1, 5089, 5087, 5071)
(51, 5090, 5091, -1, 5073)
(52, 5092, 5093, 5090, -1)
(53, 5094, 5095, 5092, 5076)
(54, 5096, 5097, 5094, 5078)
(55, 5098, 5099, 5096, 5080)
(56, 5100, 5101, 5098, 5082)
(57, 5102, 5103, 5100, 5084)
(58, 5104, 5105, 5102, 5086)
(59, 5106, 5107, 5104, 5088)
(60, -1, 5108, 5106, 5089)
(61, 5109, 5110, -1, 5091)
(62, 5111, 5112, 5109, 5093)
(63, 5113, 5114, 5111, 5095)
(64, 5115, 5116, 5113, 5097)
(65, 5117, 5118, 5115, 5099)
(66, 5119, 5120, 5117, 5101)
(67, -1, 5121, 5119, 5103)
(68, -1, 5122, -1, 5105)
(69, 5123, 5124, -1, 5107)
(70, -1, 5125, 5123, 5108)
(71, 5126, 5127, -1, 5110)
(72, 5128, 5129, 5126, 5112)
(73, 5130, 5131, 5128, 5114)
(74, 5132, 5133, 5130, 5116)
(75, 5134, 5135, 5132, 5118)
(76, 5136, 5137, 5134, 5120)
(77, 5138, 5139, 5136, 5121)
(78, 5140, 5141, 5138, 5122)
(79, 5142, 5143, 5140, 5124)
(80, -1, 5144, 5142, 5125)
(81, 5145, 5146, -1, 5127)
(82, 5147, 5148, 5145, 5129)
(83, -1, 5149, 5147, 5131)
(84, 5150, 5151, -1, 5133)
(85, 5152, 5153, 5150, 5135)
(86, 5154, 5155, 5152, 5137)
(87, 5156, 5157, 5154, 5139)
(88, 5158, 5159, 5156, 5141)
(89, -1, 5160, 5158, 5143)
(90, -1, 5161, -1, 5144)
(91, 5162, -1, -1, 5146)
(92, 5163, -1, 5162, 5148)
(93, 5164, -1, 5163, 5149)
(94, 5165, -1, 5164, 5151)
(95, 5166, -1, 5165, 5153)
(96, 5167, -1, 5166, 5155)
(97, 5168, -1, 5167, 5157)
(98, 5169, -1, 5168, 5159)
(99, 5170, -1, 5169, 5160)
