#(id,length,speed,channel,from,to,isDuplex)
(5000, 22, 10, 2, 1, 2, 1)
(5001, 21, 11, 3, 1, 11, 1)
(5002, 33, 12, 1, 2, 3, 0)
(5003, 34, 13, 2, 2, 12, 1)
(5004, 25, 17, 3, 3, 4, 1)
(5005, 37, 14, 3, 3, 13, 1)
(5006, 25, 15, 2, 4, 5, 1)
(5007, 36, 19, 5, 4, 14, 1)
(5008, 27, 11, 1, 5, 6, 1)
(5009, 32, 16, 4, 5, 15, 1)
(5010, 22, 13, 1, 6, 7, 1)
(5011, 32, 19, 2, 6, 16, 1)
(5012, 28, 16, 1, 7, 8, 1)
(5013, 21, 10, 5, 7, 17, 1)
(5014, 38, 18, 1, 8, 9, 1)
(5015, 20, 13, 3, 9, 10, 1)
(5016, 39, 16, 3, 9, 19, 1)
(5017, 30, 14, 1, 10, 20, 0)
(5018, 25, 10, 3, 11, 21, 1)
(5019, 32, 17, 4, 12, 22, 1)
(5020, 29, 12, 5, 13, 14, 1)
(5021, 25, 10, 4, 13, 23, 1)
(5022, 26, 16, 3, 14, 15, 1)
(5023, 32, 17, 4, 14, 24, 1)
(5024, 37, 14, 1, 15, 16, 1)
(5025, 38, 10, 4, 15, 25, 1)
(5026, 20, 10, 3, 16, 17, 1)
(5027, 35, 14, 5, 16, 26, 1)
(5028, 36, 13, 4, 17, 18, 1)
(5029, 24, 11, 4, 17, 27, 1)
(5030, 26, 12, 4, 18, 19, 1)
(5031, 27, 12, 5, 18, 28, 1)
(5032, 37, 13, 5, 19, 20, 1)
(5033, 22, 14, 1, 19, 29, 1)
(5034, 36, 12, 5, 20, 30, 1)
(5035, 33, 16, 5, 21, 22, 1)
(5036, 33, 15, 5, 21, 31, 1)
(5037, 36, 17, 2, 22, 23, 1)
(5038, 38, 17, 4, 22, 32, 1)
(5039, 23, 10, 4, 23, 24, 1)
(5040, 38, 15, 1, 23, 33, 1)
(5041, 23, 12, 3, 24, 25, 1)
(5042, 36, 18, 5, 25, 26, 1)
(5043, 34, 12, 4, 25, 35, 1)
(5044, 24, 19, 1, 26, 27, 1)
(5045, 25, 18, 4, 26, 36, 1)
(5046, 29, 14, 2, 27, 28, 1)
(5047, 21, 12, 5, 27, 37, 1)
