# (id,roadId,roadId,roadId,roadId)
(1, 5000, 5001, -1, -1)
(2, 5002, 5003, 5000, -1)
(3, 5004, -1, 5002, -1)
(4, 5005, -1, 5004, -1)
(5, 5006, 5007, 5005, -1)
(6, 5008, 5009, 5006, -1)
(7, 5010, 5011, 5008, -1)
(8, 5012, 5013, 5010, -1)
(9, 5014, 5015, 5012, -1)
(10, -1, 5016, 5014, -1)
(11, 5017, 5018, -1, 5001)
(12, 5019, 5020, 5017, 5003)
(13, 5021, -1, 5019, -1)
(14, 5022, 5023, 5021, -1)
(15, 5024, 5025, 5022, 5007)
(16, 5026, 5027, 5024, 5009)
(17, 5028, 5029, 5026, 5011)
(18, 5030, 5031, 5028, 5013)
(19, 5032, -1, 5030, 5015)
(20, -1, 5033, 5032, 5016)
(21, -1, 5034, -1, 5018)
(22, 5035, -1, -1, 5020)
(23, 5036, 5037, 5035, -1)
(24, 5038, 5039, 5036, 5023)
(25, -1, 5040, 5038, 5025)
(26, 5041, 5042, -1, 5027)
(27, 5043, 5044, 5041, 5029)
(28, 5045, 5046, 5043, 5031)
(29, 5047, 5048, 5045, -1)
(30, -1, 5049, 5047, 5033)
(31, 5050, 5051, -1, 5034)
(32, 5052, 5053, 5050, -1)
(33, 5054, 5055, 5052, 5037)
(34, 5056, 5057, 5054, 5039)
(35, 5058, 5059, 5056, 5040)
(36, -1, 5060, 5058, 5042)
(37, 5061, 5062, -1, 5044)
(38, 5063, 5064, 5061, 5046)
(39, 5065, 5066, 5063, 5048)
(40, -1, 5067, 5065, 5049)
(41, 5068, 5069, -1, 5051)
(42, 5070, 5071, 5068, 5053)
(43, 5072, 5073, 5070, 5055)
(44, 5074, -1, 5072, 5057)
(45, 5075, 5076, 5074, 5059)
(46, 5077, 5078, 5075, 5060)
(47, 5079, 5080, 5077, 5062)
(48, 5081, 5082, 5079, 5064)
(49, 5083, 5084, 5081, 5066)
(50, -1, 5085, 5083, 5067)
(51, 5086, 5087, -1, 5069)
(52, 5088, 5089, 5086, 5071)
(53, 5090, 5091, 5088, 5073)
(54, 5092, 5093, 5090, -1)
(55, 5094, 5095, 5092, 5076)
(56, 5096, 5097, 5094, 5078)
(57, 5098, 5099, 5096, 5080)
(58, 5100, 5101, 5098, 5082)
(59, 5102, 5103, 5100, 5084)
(60, -1, 5104, 5102, 5085)
(61, 5105, 5106, -1, 5087)
(62, 5107, 5108, 5105, 5089)
(63, 5109, 5110, 5107, 5091)
(64, 5111, 5112, 5109, 5093)
(65, 5113, 5114, 5111, 5095)
(66, 5115, 5116, 5113, 5097)
(67, 5117, 5118, 5115, 5099)
(68, -1, 5119, 5117, 5101)
(69, 5120, 5121, -1, 5103)
(70, -1, 5122, 5120, 5104)
(71, 5123, 5124, -1, 5106)
(72, 5125, -1, 5123, 5108)
(73, 5126, -1, 5125, 5110)
(74, 5127, 5128, 5126, 5112)
(75, 5129, 5130, 5127, 5114)
(76, 5131, 5132, 5129, 5116)
(77, 5133, 5134, 5131, 5118)
(78, -1, 5135, 5133, 5119)
(79, 5136, 5137, -1, 5121)
(80, -1, 5138, 5136, 5122)
(81, 5139, 5140, -1, 5124)
(82, 5141, 5142, 5139, -1)
(83, 5143, 5144, 5141, -1)
(84, 5145, 5146, 5143, 5128)
(85, 5147, 5148, 5145, 5130)
(86, 5149, 5150, 5147, 5132)
(87, 5151, 5152, 5149, 5134)
(88, -1, 5153, 5151, 5135)
(89, 5154, 5155, -1, 5137)
(90, -1, 5156, 5154, 5138)
(91, 5157, -1, -1, 5140)
(92, 5158, -1, 5157, 5142)
(93, 5159, -1, 5158, 5144)
(94, 5160, -1, 5159, 5146)
(95, 5161, -1, 5160, 5148)
(96, 5162, -1, 5161, 5150)
(97, 5163, -1, 5162, 5152)
(98, 5164, -1, 5163, 5153)
(99, 5165, -1, 5164, 5155)
(100, -1, -1, 5165, 5156)
