#(id,length,speed,channel,from,to,isDuplex)
(5000, 36, 16, 4, 1, 2, 1)
(5001, 37, 10, 2, 1, 11, 1)
(5002, 34, 13, 2, 2, 3, 1)
(5003, 37, 16, 2, 2, 12, 1)
(5004, 39, 14, 4, 3, 4, 1)
(5005, 38, 10, 5, 4, 5, 1)
(5006, 36, 13, 2, 5, 6, 1)
(5007, 34, 13, 4, 5, 15, 1)
(5008, 36, 15, 4, 6, 7, 1)
(5009, 24, 12, 1, 6, 16, 1)
(5010, 28, 12, 2, 7, 8, 1)
(5011, 31, 14, 1, 7, 17, 1)
(5012, 31, 10, 4, 8, 9, 1)
(5013, 38, 16, 5, 8, 18, 1)
(5014, 21, 16, 4, 9, 10, 1)
(5015, 34, 19, 2, 9, 19, 1)
(5016, 23, 13, 2, 10, 20, 1)
(5017, 21, 14, 4, 11, 12, 1)
(5018, 39, 18, 4, 11, 21, 1)
(5019, 22, 12, 3, 12, 13, 1)
(5020, 33, 19, 3, 12, 22, 1)
(5021, 31, 17, 5, 13, 14, 1)
(5022, 36, 16, 4, 14, 15, 0)
(5023, 20, 16, 5, 14, 24, 1)
(5024, 38, 12, 2, 15, 16, 1)
(5025, 21, 15, 3, 15, 25, 1)
(5026, 30, 14, 1, 16, 17, 1)
(5027, 32, 17, 4, 16, 26, 1)
(5028, 32, 13, 4, 17, 18, 1)
(5029, 20, 12, 5, 17, 27, 1)
(5030, 21, 14, 2, 18, 19, 1)
(5031, 33, 12, 5, 18, 28, 1)
(5032, 31, 16, 2, 19, 20, 1)
(5033, 25, 16, 1, 20, 30, 1)
(5034, 25, 11, 5, 21, 31, 1)
(5035, 22, 10, 3, 22, 23, 1)
(5036, 39, 14, 1, 23, 24, 1)
(5037, 20, 19, 1, 23, 33, 1)
(5038, 22, 18, 2, 24, 25, 1)
(5039, 35, 17, 3, 24, 34, 1)
(5040, 21, 17, 4, 25, 35, 1)
(5041, 28, 10, 3, 26, 27, 1)
(5042, 30, 10, 4, 26, 36, 1)
(5043, 38, 15, 4, 27, 28, 1)
(5044, 29, 15, 2, 27, 37, 1)
(5045, 32, 10, 2, 28, 29, 1)
(5046, 26, 12, 2, 28, 38, 1)
(5047, 31, 15, 5, 29, 30, 0)
(5048, 25, 18, 4, 29, 39, 1)
(5049, 33, 11, 1, 30, 40, 1)
(5050, 35, 12, 3, 31, 32, 1)
(5051, 30, 10, 4, 31, 41, 1)
(5052, 27, 19, 2, 32, 33, 1)
(5053, 21, 13, 3, 32, 42, 1)
(5054, 21, 12, 4, 33, 34, 1)
(5055, 28, 14, 1, 33, 43, 1)
(5056, 20, 11, 5, 34, 35, 1)
(5057, 22, 12, 4, 34, 44, 1)
(5058, 34, 13, 5, 35, 36, 1)
(5059, 24, 14, 5, 35, 45, 1)
(5060, 27, 17, 5, 36, 46, 1)
(5061, 36, 17, 1, 37, 38, 1)
(5062, 20, 16, 4, 37, 47, 1)
(5063, 27, 16, 1, 38, 39, 1)
(5064, 23, 13, 2, 38, 48, 1)
(5065, 21, 19, 5, 39, 40, 1)
(5066, 27, 17, 2, 39, 49, 1)
(5067, 24, 19, 4, 40, 50, 1)
(5068, 30, 18, 1, 41, 42, 1)
(5069, 35, 16, 2, 41, 51, 1)
(5070, 23, 19, 2, 42, 43, 1)
(5071, 20, 17, 2, 42, 52, 1)
(5072, 35, 18, 3, 43, 44, 1)
(5073, 27, 14, 1, 43, 53, 1)
(5074, 29, 17, 3, 44, 45, 1)
(5075, 25, 12, 2, 45, 46, 1)
(5076, 37, 13, 5, 45, 55, 1)
(5077, 22, 19, 5, 46, 47, 1)
(5078, 26, 13, 3, 46, 56, 1)
(5079, 33, 13, 1, 47, 48, 1)
(5080, 22, 13, 4, 47, 57, 1)
(5081, 37, 16, 2, 48, 49, 1)
(5082, 35, 15, 1, 48, 58, 1)
(5083, 36, 14, 1, 49, 50, 1)
(5084, 20, 12, 1, 49, 59, 1)
(5085, 26, 16, 1, 50, 60, 1)
(5086, 21, 19, 5, 51, 52, 1)
(5087, 34, 15, 5, 51, 61, 1)
(5088, 32, 18, 1, 52, 53, 1)
(5089, 36, 10, 2, 52, 62, 1)
(5090, 38, 12, 3, 53, 54, 1)
(5091, 24, 14, 1, 53, 63, 1)
(5092, 35, 18, 5, 54, 55, 1)
(5093, 28, 10, 1, 54, 64, 1)
(5094, 23, 18, 2, 55, 56, 1)
(5095, 23, 11, 2, 55, 65, 1)
(5096, 25, 18, 2, 56, 57, 1)
(5097, 28, 12, 1, 56, 66, 1)
(5098, 23, 16, 4, 57, 58, 1)
(5099, 23, 14, 3, 57, 67, 1)
(5100, 36, 17, 5, 58, 59, 1)
(5101, 39, 10, 3, 58, 68, 1)
(5102, 20, 17, 4, 59, 60, 1)
(5103, 28, 15, 5, 59, 69, 1)
(5104, 35, 19, 5, 60, 70, 1)
(5105, 31, 19, 5, 61, 62, 1)
(5106, 20, 15, 5, 61, 71, 1)
(5107, 28, 19, 1, 62, 63, 1)
(5108, 30, 17, 5, 62, 72, 1)
(5109, 31, 10, 4, 63, 64, 1)
(5110, 21, 11, 3, 63, 73, 1)
(5111, 31, 15, 5, 64, 65, 1)
(5112, 37, 18, 5, 64, 74, 1)
(5113, 27, 15, 5, 65, 66, 1)
(5114, 26, 16, 3, 65, 75, 1)
(5115, 26, 12, 5, 66, 67, 1)
(5116, 25, 18, 2, 66, 76, 1)
(5117, 39, 19, 1, 67, 68, 1)
(5118, 36, 16, 5, 67, 77, 1)
(5119, 30, 14, 1, 68, 78, 1)
(5120, 27, 10, 4, 69, 70, 1)
(5121, 30, 13, 3, 69, 79, 1)
(5122, 25, 12, 5, 70, 80, 1)
(5123, 32, 10, 2, 71, 72, 1)
(5124, 20, 14, 4, 71, 81, 1)
(5125, 32, 16, 5, 72, 73, 1)
(5126, 21, 14, 2, 73, 74, 1)
(5127, 36, 10, 4, 74, 75, 1)
(5128, 24, 12, 3, 74, 84, 1)
(5129, 21, 17, 2, 75, 76, 1)
(5130, 37, 12, 5, 75, 85, 1)
(5131, 28, 11, 3, 76, 77, 1)
(5132, 24, 19, 4, 76, 86, 1)
(5133, 33, 18, 2, 77, 78, 1)
(5134, 29, 18, 2, 77, 87, 1)
(5135, 21, 15, 1, 78, 88, 1)
(5136, 26, 16, 2, 79, 80, 1)
(5137, 32, 17, 2, 79, 89, 1)
(5138, 30, 17, 3, 80, 90, 1)
(5139, 36, 13, 1, 81, 82, 1)
(5140, 28, 18, 3, 81, 91, 1)
(5141, 39, 18, 1, 82, 83, 1)
(5142, 24, 19, 5, 82, 92, 1)
(5143, 34, 16, 5, 83, 84, 1)
(5144, 28, 19, 2, 83, 93, 1)
(5145, 20, 10, 1, 84, 85, 1)
(5146, 32, 10, 4, 84, 94, 1)
(5147, 37, 15, 1, 85, 86, 0)
(5148, 36, 14, 2, 85, 95, 1)
(5149, 35, 12, 1, 86, 87, 1)
(5150, 24, 17, 4, 86, 96, 1)
(5151, 34, 18, 2, 87, 88, 1)
(5152, 31, 11, 5, 87, 97, 1)
(5153, 21, 13, 5, 88, 98, 1)
(5154, 34, 19, 1, 89, 90, 1)
(5155, 25, 10, 3, 89, 99, 0)
(5156, 25, 12, 2, 90, 100, 1)
(5157, 33, 12, 2, 91, 92, 1)
(5158, 28, 16, 2, 92, 93, 1)
(5159, 30, 18, 1, 93, 94, 0)
(5160, 32, 12, 1, 94, 95, 1)
(5161, 33, 17, 1, 95, 96, 1)
(5162, 33, 19, 4, 96, 97, 1)
(5163, 33, 16, 4, 97, 98, 1)
(5164, 34, 11, 3, 98, 99, 1)
(5165, 32, 10, 4, 99, 100, 1)
